,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
135,KimKardashian,Tue Jun 26 22:28:31 +0000 2018,RT @edwardbarsamian: ARMENIA! starting at @metmuseum on 9/22 - info here + follow #MetArmenia: https://t.co/D2PqWrLaEV https://t.co/94FQ0cS…,0.0,0.0,0.0,1.0,65
136,KimKardashian,Tue Jun 26 21:37:13 +0000 2018,😍 https://t.co/yRRmL0ezam,0.4588,0.429,0.0,0.571,64
137,KimKardashian,Tue Jun 26 19:38:31 +0000 2018,💋 https://t.co/z2p4vRjqqS,0.4215,0.583,0.0,0.417,63
138,KimKardashian,Tue Jun 26 19:38:23 +0000 2018,💗 https://t.co/wcMIsZn35h,0.1779,0.459,0.0,0.541,62
139,KimKardashian,Tue Jun 26 18:02:18 +0000 2018,WTP https://t.co/bwSfI5NgB9,0.0,0.0,0.0,1.0,61
140,KimKardashian,Tue Jun 26 16:22:05 +0000 2018,#KKWXMARIO Collection restocks in 3 DAYS on 6.29 at 12PM PST only at https://t.co/PoBZ3bhjs8 https://t.co/g87Y3ZwVvX,0.0,0.0,0.0,1.0,60
141,KimKardashian,Tue Jun 26 14:17:57 +0000 2018,RT @narcicismo: so many moods in one picture. https://t.co/ycHHai2wK2,0.0,0.0,0.0,1.0,59
142,KimKardashian,Tue Jun 26 14:07:25 +0000 2018,"RT @AsyaKardashian: Happy Birthday , Ari 💜 @ArianaGrande https://t.co/YcnSP6fxYh",0.5719,0.316,0.0,0.684,58
143,KimKardashian,Tue Jun 26 14:07:23 +0000 2018,RT @AsyaKardashian: #HappyBirthdayAriana ❤️ https://t.co/96alWy2ZY8,0.0,0.0,0.0,1.0,57
144,KimKardashian,Tue Jun 26 13:51:07 +0000 2018,"RT @KIMWESTSOURCE_: ❕#KKWBEAUTY RESTOCK ALERT❕
The #KKWxMARIO Collection restocks in 3 days, on 6.29 at 12PM PST — Only on https://t.co/Z16…",0.0,0.0,0.0,1.0,56
145,KimKardashian,Tue Jun 26 00:53:37 +0000 2018,😍 WOW 😍 https://t.co/kW3uM8EcgY,0.8893,0.601,0.0,0.399,55
146,KimKardashian,Mon Jun 25 23:33:47 +0000 2018,Happy Birthday @lala Love you so much! Thanks for ALWAYS being there!!! https://t.co/Mc9IYRNC1X,0.9224,0.55,0.0,0.45,54
147,KimKardashian,Mon Jun 25 22:35:12 +0000 2018,KKW BEAUTY POP-UP 💋 https://t.co/7DEXzBN4oQ,0.8091,0.647,0.0,0.353,53
148,KimKardashian,Mon Jun 25 22:24:47 +0000 2018,.@lala and I answer your most-asked questions!! https://t.co/l7TksBSieE,0.0,0.0,0.0,1.0,52
149,KimKardashian,Mon Jun 25 21:26:22 +0000 2018,RT @MUNCHKiN_XO: Happy Birthday to @lala! 🎉✌🏼💕 https://t.co/dZ042a03Wx,0.6114,0.363,0.0,0.637,51
150,KimKardashian,Mon Jun 25 20:58:30 +0000 2018,"RT @KKWMAFIA: Happy Birthday, @lala! I hope you enjoy your day! 💋 https://t.co/yJ6rdv8Yu3",0.9214,0.594,0.0,0.406,50
151,KimKardashian,Mon Jun 25 18:31:35 +0000 2018,RT @kkwbeauty: The full #KKWXMARIO collection is BACK and available now exclusively at the #KKWBEAUTY Pop-Up at @WestfieldCC! Shop the bund…,0.0,0.0,0.0,1.0,49
152,KimKardashian,Mon Jun 25 18:30:46 +0000 2018,Stop by the Pop-Up to enter!! Last day to enter is June 27 💋 https://t.co/ItfBpYpwLb,0.2924,0.173,0.112,0.715,48
153,KimKardashian,Mon Jun 25 18:07:47 +0000 2018,"My diet for long, healthy hair https://t.co/oxeklufDiu",0.4019,0.31,0.0,0.69,47
154,KimKardashian,Mon Jun 25 15:30:46 +0000 2018,😋 yummy happy birthday!!!! https://t.co/w9dE09qs9c,0.8507,0.623,0.0,0.377,46
155,KimKardashian,Mon Jun 25 03:06:55 +0000 2018,I love you 💕 https://t.co/oXW4tMi0zB,0.6369,0.512,0.0,0.488,45
156,KimKardashian,Mon Jun 25 03:06:35 +0000 2018,Hi https://t.co/GD5Na3m69x,0.0,0.0,0.0,1.0,44
157,KimKardashian,Mon Jun 25 03:03:50 +0000 2018,It’s my home theater I can have my phone 📱😂😘 https://t.co/ofxWHMK5Cn,0.0,0.0,0.0,1.0,43
158,KimKardashian,Mon Jun 25 03:02:59 +0000 2018,😂😘 https://t.co/b32uXOoQFl,0.0,0.0,0.0,1.0,42
159,KimKardashian,Mon Jun 25 03:02:25 +0000 2018,Twinning https://t.co/wfCuKL9UkO,0.0,0.0,0.0,1.0,41
160,KimKardashian,Mon Jun 25 03:01:25 +0000 2018,Love you 😍 https://t.co/w3Mw7wd8Fg,0.802,0.59,0.0,0.41,40
161,KimKardashian,Sun Jun 24 22:52:22 +0000 2018,Now watching Incredibles 2 ❗️❗️❗️❗️❗️,0.0,0.0,0.0,1.0,39
162,KimKardashian,Sun Jun 24 20:15:36 +0000 2018,😍 https://t.co/BOqITTxBTV,0.4588,0.429,0.0,0.571,38
